year,sex,age_x,qx,lx,dx,upcase_lx,upcase_tx,ex
2004,Female,79,0.04493,67440,3030,65925,673960,10
2004,Female,80,0.05012,64409,3228,62795,608036,9.4
2004,Female,81,0.05534,61181,3386,59488,545240,8.9
2004,Female,82,0.06085,57796,3517,56037,485752,8.4
2004,Female,83,0.06699,54279,3636,52461,429715,7.9
2004,Female,84,0.07374,50642,3735,48775,377254,7.4
2004,Female,85,0.08104,46908,3801,45007,328479,7
2004,Female,86,0.08897,43107,3835,41189,283472,6.6
2004,Female,87,0.09757,39271,3832,37355,242283,6.2
2004,Female,88,0.1069,35440,3789,33545,204927,5.8
2004,Female,89,0.117,31651,3703,29799,171382,5.4
2004,Female,90,0.1279,27948,3575,26161,141583,5.1
2004,Female,91,0.13967,24373,3404,22671,115422,4.7
2004,Female,92,0.15234,20969,3194,19372,92751,4.4
2004,Female,93,0.16595,17775,2950,16300,73379,4.1
2004,Female,94,0.18057,14825,2677,13487,57079,3.9
2004,Female,95,0.19621,12148,2384,10956,43593,3.6
2004,Female,96,0.21294,9764,2079,8725,32636,3.3
2004,Female,97,0.23077,7685,1774,6798,23912,3.1
2004,Female,98,0.24975,5912,1476,5173,17113,2.9
2004,Female,99,0.26991,4435,1197,3837,11940,2.7
2004,Female,100_and_over,1,3238,3238,8103,8103,2.5
2005,Total,0,0.00229,100000,229,99812,8007308,80.1
2005,Total,1,0.00016,99771,16,99763,7907496,79.3
2005,Total,2,0.00016,99755,16,99747,7807733,78.3
2005,Total,3,0.00015,99739,15,99732,7707986,77.3
2005,Total,4,0.00014,99724,13,99718,7608254,76.3
2005,Total,5,0.00012,99711,12,99705,7508537,75.3
2005,Total,6,0.00011,99699,11,99693,7408832,74.3
2005,Total,7,0.0001,99688,10,99683,7309138,73.3
2005,Total,8,0.0001,99678,10,99673,7209455,72.3
2005,Total,9,0.00011,99667,11,99662,7109783,71.3
2005,Total,10,0.00012,99656,12,99651,7010121,70.3
2005,Total,11,0.00012,99645,12,99639,6910470,69.4
2005,Total,12,0.00014,99632,14,99626,6810832,68.4
2005,Total,13,0.00015,99619,15,99611,6711206,67.4
2005,Total,14,0.00017,99603,17,99595,6611595,66.4
2005,Total,15,0.00019,99586,19,99576,6512000,65.4
2005,Total,16,0.00022,99567,22,99556,6412424,64.4
2005,Total,17,0.00024,99545,24,99533,6312868,63.4
2005,Total,18,0.00027,99521,27,99507,6213335,62.4
2005,Total,19,0.00031,99494,31,99478,6113828,61.4
2005,Total,20,0.00035,99463,35,99445,6014349,60.5
2005,Total,21,0.00039,99427,39,99408,5914905,59.5
2005,Total,22,0.00041,99389,41,99368,5815497,58.5
2005,Total,23,0.00041,99348,41,99327,5716129,57.5
2005,Total,24,0.0004,99306,40,99286,5616802,56.6
2005,Total,25,0.00039,99266,38,99247,5517515,55.6
2005,Total,26,0.00037,99228,37,99210,5418268,54.6
2005,Total,27,0.00037,99191,37,99173,5319059,53.6
2005,Total,28,0.00039,99154,38,99135,5219886,52.6
